trialcode,stimulusitem1,valence
attributeB,Terrible,negative
attributeA,Horrible,negative
attributeA,Fantastic,positive
attributeB,Happy,positive
attributeB,Awful,negative
attributeA,Amazing,positive
attributeB,Amazing,positive
attributeA,Sick,negative
attributeB,Awful,negative
attributeB,Great,positive
attributeA,Horrible,negative
attributeA,Nice,positive
attributeB,Wonderful,positive
attributeA,Terrible,negative
attributeA,Fantastic,positive
attributeB,Sad,negative
attributeA,Unpleasant,negative
attributeB,Pleasant,positive
attributeB,Terrible,negative
attributeA,Good,positive
